checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
no checking account,18,critical account / other credits,radio/television,1169,unknown / no savings account,1-4 years,4,male : single,none,3,building society savings / life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1023.04
no checking account,36,delay in paying off in the past,car (used),8947,unknown / no savings account,4-7 years,3,male : single,none,2,car or other (not in attribute 6),31,stores,own,1,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,7829.86
<0 DM,21,existing credits paid duly till now,radio/television,2606,<100 DM,<1 year,4,female : divorced/separated/married,none,4,building society savings / life insurance,28,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,2280.61
no checking account,12,critical account / other credits,furniture/equipment,1592,>=1000 DM,4-7 years,3,female : divorced/separated/married,none,2,building society savings / life insurance,35,none,own,1,skilled employee / official,1,none,no,1,good,no checking account,>=875 EUR,1393.22
no checking account,15,existing credits paid duly till now,furniture/equipment,2186,unknown / no savings account,4-7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled resident,1,none,yes,1,good,no checking account,unknown / no savings account,1913.05
<0 DM,18,existing credits paid duly till now,furniture/equipment,4153,<100 DM,1-4 years,2,male : single,co-applicant,3,car or other (not in attribute 6),42,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,3634.45
<0 DM,16,critical account / other credits,car (new),2625,<100 DM,>=7 years,2,male : single,guarantor,4,building society savings / life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,2297.24
no checking account,20,critical account / other credits,car (new),3485,unknown / no savings account,<1 year,2,male : divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,3049.86
no checking account,36,critical account / other credits,car (used),10477,unknown / no savings account,>=7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,9168.82
no checking account,15,existing credits paid duly till now,radio/television,1386,unknown / no savings account,1-4 years,4,male : married/widowed,none,2,real estate,40,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1212.94
no checking account,24,existing credits paid duly till now,radio/television,1278,<100 DM,>=7 years,4,male : single,none,1,real estate,36,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1118.43
<0 DM,12,existing credits paid duly till now,radio/television,1107,<100 DM,1-4 years,2,male : single,none,2,real estate,20,none,rent,1,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,968.78
<0 DM,21,existing credits paid duly till now,car (new),3763,unknown / no savings account,4-7 years,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled resident,1,none,no,1,good,<0 EUR,unknown / no savings account,3293.14
0-200 DM,36,existing credits paid duly till now,education,3711,unknown / no savings account,1-4 years,2,male : married/widowed,none,2,car or other (not in attribute 6),27,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,3247.64
no checking account,15,delay in paying off in the past,car (used),3594,<100 DM,<1 year,1,female : divorced/separated/married,none,2,building society savings / life insurance,46,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,3145.25
0-200 DM,9,existing credits paid duly till now,car (new),3195,unknown / no savings account,1-4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,unknown / no savings account,2796.07
no checking account,36,delay in paying off in the past,radio/television,4454,<100 DM,1-4 years,4,female : divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,3897.86
0-200 DM,24,critical account / other credits,furniture/equipment,4736,<100 DM,<1 year,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),25,bank,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,4144.65
0-200 DM,30,existing credits paid duly till now,radio/television,2991,unknown / no savings account,>=7 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),25,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,2617.54
no checking account,11,existing credits paid duly till now,business,2142,>=1000 DM,>=7 years,1,male : divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,>=875 EUR,1874.55
<0 DM,24,all credits at this bank paid duly,business,3161,<100 DM,1-4 years,4,male : single,none,2,building society savings / life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,2766.31
0-200 DM,48,no credits taken / all paid duly,others,18424,<100 DM,1-4 years,1,female : divorced/separated/married,none,2,building society savings / life insurance,32,bank,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",no,2,bad,0-175 EUR,<87 EUR,16123.54
no checking account,10,existing credits paid duly till now,car (used),2848,100-500 DM,1-4 years,1,male : single,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,1,good,no checking account,87-437 EUR,2492.39
<0 DM,6,existing credits paid duly till now,car (new),14896,<100 DM,>=7 years,1,male : single,none,4,unknown / no property,68,bank,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,13036.06
<0 DM,24,existing credits paid duly till now,furniture/equipment,2359,100-500 DM,unemployed,1,male : divorced/separated,none,1,building society savings / life insurance,33,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,87-437 EUR,2064.45
<0 DM,24,existing credits paid duly till now,furniture/equipment,3345,<100 DM,>=7 years,4,male : single,none,2,building society savings / life insurance,39,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,2927.34
no checking account,18,critical account / other credits,furniture/equipment,1817,<100 DM,1-4 years,4,female : divorced/separated/married,none,2,unknown / no property,28,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1590.13
no checking account,48,delay in paying off in the past,radio/television,12749,500-1000 DM,4-7 years,4,male : single,none,1,car or other (not in attribute 6),37,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,11157.13
<0 DM,9,existing credits paid duly till now,radio/television,1366,<100 DM,<1 year,3,female : divorced/separated/married,none,4,building society savings / life insurance,22,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1195.44
0-200 DM,12,existing credits paid duly till now,car (new),2002,<100 DM,4-7 years,3,male : single,none,4,building society savings / life insurance,30,none,rent,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1752.03
<0 DM,24,all credits at this bank paid duly,furniture/equipment,6872,<100 DM,<1 year,2,male : divorced/separated,none,1,building society savings / life insurance,55,bank,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,6013.95
<0 DM,12,all credits at this bank paid duly,car (new),697,<100 DM,<1 year,4,male : single,none,2,car or other (not in attribute 6),46,bank,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,609.97
<0 DM,18,critical account / other credits,furniture/equipment,1049,<100 DM,<1 year,4,female : divorced/separated/married,none,4,building society savings / life insurance,21,none,rent,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,918.02
<0 DM,48,existing credits paid duly till now,car (used),10297,<100 DM,4-7 years,4,male : single,none,4,unknown / no property,39,stores,for free,3,skilled employee / official,2,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,9011.3
no checking account,30,existing credits paid duly till now,radio/television,1867,unknown / no savings account,>=7 years,4,male : single,none,4,car or other (not in attribute 6),58,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1633.88
<0 DM,12,delay in paying off in the past,car (new),1344,<100 DM,1-4 years,4,male : single,none,2,real estate,43,none,own,2,unskilled resident,2,none,yes,1,good,<0 EUR,<87 EUR,1176.19
<0 DM,24,existing credits paid duly till now,furniture/equipment,1747,<100 DM,<1 year,4,male : single,co-applicant,1,building society savings / life insurance,24,none,own,1,unskilled resident,1,none,no,1,good,<0 EUR,<87 EUR,1528.87
0-200 DM,9,existing credits paid duly till now,radio/television,1670,<100 DM,<1 year,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),22,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,1461.48
no checking account,9,critical account / other credits,car (new),1224,<100 DM,1-4 years,3,male : single,none,1,real estate,30,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1071.17
no checking account,12,critical account / other credits,radio/television,522,500-1000 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,42,none,own,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,456.82
<0 DM,12,existing credits paid duly till now,radio/television,1498,<100 DM,1-4 years,4,female : divorced/separated/married,none,1,car or other (not in attribute 6),23,bank,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1310.96
0-200 DM,30,delay in paying off in the past,radio/television,1919,100-500 DM,<1 year,4,male : single,none,3,unknown / no property,30,stores,own,2,management / self-employed / highly qualified,1,none,yes,2,bad,0-175 EUR,87-437 EUR,1679.39
>=200 DM / salary assignments,9,existing credits paid duly till now,radio/television,745,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,real estate,28,none,own,1,unskilled resident,1,none,yes,2,bad,>=175 EUR / salary assignments,<87 EUR,651.98
0-200 DM,6,existing credits paid duly till now,radio/television,2063,<100 DM,<1 year,4,male : married/widowed,none,3,car or other (not in attribute 6),30,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1805.41
0-200 DM,60,existing credits paid duly till now,education,6288,<100 DM,1-4 years,4,male : single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,5502.87
no checking account,24,critical account / other credits,car (used),6842,unknown / no savings account,1-4 years,2,male : single,none,4,building society savings / life insurance,46,none,own,2,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,5987.69
no checking account,12,existing credits paid duly till now,car (new),3527,unknown / no savings account,<1 year,2,male : single,none,3,building society savings / life insurance,45,none,own,1,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,3086.61
